Year, NodeId, Gender, IP_Key:Cohort, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,STIDebut
2015.5,1,0,Yes_HIV-,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,10,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,13,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,16,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,21,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,25,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,30,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,40,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV-,50,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,10,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,13,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,16,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,21,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,25,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,30,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,40,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,Yes_HIV+,50,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,0,No,0,24446,0,0,0,162,0,385,385,0,0,391,0
2015.5,1,0,No,10,6483,0,0,0,7,0,0,0,0,0,0,0
2015.5,1,0,No,13,6167,36,83,0,8,0,0,0,0,0,0,57
2015.5,1,0,No,16,8991,477,481,0,14,0,0,0,0,0,0,1021
2015.5,1,0,No,21,6027,308,264,0,13,1,0,0,0,0,0,0
2015.5,1,0,No,25,6277,918,1033,0,21,2,0,0,0,0,0,0
2015.5,1,0,No,30,9611,1747,1725,0,30,9,0,0,0,0,0,0
2015.5,1,0,No,40,6339,1026,944,0,23,4,0,0,0,0,0,0
2015.5,1,0,No,50,6350,872,879,0,102,8,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,10,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,13,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,16,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,21,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,25,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,30,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,40,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV-,50,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,10,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,13,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,16,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,21,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,25,0,0,0,0,0,0,0,0,0,0,0,0
2015.5,1,1,Yes_HIV+,30,0,0,0,0,0,0,0,0,0,0,0,0
